rank   1 of   2 on lassen7
allocate_device_buffer 4194304
rank   0 of   2 on lassen7
allocate_device_buffer 4194304
allocate_device_buffer 4194304
allocate_device_buffer 4194304
process_options arg d
# OSU MPI-CUDA Latency Test v5.6.1
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size          Latency (us)
0                       0.31
1                      18.57
2                      18.51
4                      18.49
8                      18.52
16                     18.43
32                     18.45
64                     18.48
128                    18.44
256                    18.44
512                    18.45
1024                   18.47
2048                   18.48
4096                   18.42
8192                   18.51
16384                  18.42
32768                  18.41
65536                  18.68
131072                 19.42
262144                 21.58
524288                 25.14
1048576                32.79
2097152                47.85
4194304                78.55
process_options arg d
