
# OSU MPI-CUDA Allreduce Latency Test v5.6.1
# Size       Avg Latency(us)
4                      68.28
8                      63.93
16                     66.56
32                     67.84
64                     64.10
128                    67.38
256                    64.94
512                    67.62
1024                   68.48
2048                   70.08
4096                   83.80
8192                   88.67
16384                 122.09
32768                 140.00
65536                 182.18
131072                223.11
262144                362.52
524288                643.02
1048576              1179.85
