
# OSU MPI-CUDA Allreduce Latency Test v5.6.1
# Size       Avg Latency(us)
4                      83.18
8                      81.15
16                     82.19
32                     84.35
64                     89.58
128                    84.06
256                    87.51
512                    86.47
1024                   89.98
2048                   90.39
4096                  116.34
8192                  133.35
16384                 180.06
32768                 204.34
65536                 270.85
131072                413.68
262144                518.76
524288               1166.06
1048576              2086.94
