
# OSU MPI-CUDA Allreduce Latency Test v5.6.1
# Size       Avg Latency(us)
4                      65.49
8                      72.18
16                     76.15
32                     66.45
64                     67.38
128                    70.57
256                    67.02
512                    74.22
1024                   70.12
2048                   72.63
4096                   87.28
8192                   95.47
16384                 130.97
32768                 147.26
65536                 194.99
131072                275.82
262144                349.83
524288                607.32
1048576               960.15
