
# OSU MPI-CUDA Allreduce Latency Test v5.6.1
# Size       Avg Latency(us)
4                      74.55
8                      74.42
16                     72.14
32                     71.15
64                     71.72
128                    72.56
256                    75.89
512                    75.14
1024                   76.10
2048                   80.84
4096                   95.00
8192                  106.28
16384                 140.57
32768                 160.09
65536                 223.04
131072                288.29
262144                360.22
524288                559.38
1048576               919.78
