
# OSU MPI-CUDA Allreduce Latency Test v5.6.1
# Size       Avg Latency(us)
4                      76.56
8                      76.52
16                     76.95
32                     79.96
64                     77.08
128                    81.77
256                    78.78
512                    80.85
1024                   81.38
2048                   87.06
4096                   95.36
8192                  112.17
16384                 139.94
32768                 191.69
65536                 236.38
131072                331.14
262144                477.16
524288                870.73
1048576              1384.24
